id,prediction,true
1,0,0
2,1,1
3,0,0
4,0,0
5,0,1
6,0,0
7,0,0
8,0,1
9,0,0
10,1,1
11,1,1
12,1,1
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,1,1
19,0,1
20,0,0
21,1,1
22,0,0
23,0,0
24,1,0
25,0,1
26,0,1
27,0,0
28,1,1
29,1,1
30,0,0
31,0,0
32,1,1
33,0,0
34,0,0
35,0,1
36,0,0
37,1,1
38,0,0
39,1,1
40,0,1
41,0,0
42,1,1
43,1,1
44,1,1
45,0,1
46,1,1
47,0,1
48,1,1
49,0,1
50,1,1
51,0,0
52,1,1
53,1,1
54,1,1
55,1,1
56,0,1
57,1,1
58,1,1
59,0,0
60,1,0
61,0,1
62,0,1
63,1,1
64,1,1
65,1,1
66,1,1
67,0,1
68,0,1
69,0,1
70,0,1
71,1,1
72,1,1
73,1,1
74,1,1
75,0,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,0,0
82,0,1
83,0,0
84,1,1
85,0,0
86,0,0
87,1,1
88,0,1
89,1,1
90,0,0
91,1,1
92,1,1
93,1,1
94,1,1
95,0,1
96,1,1
97,0,1
98,1,1
99,0,1
100,0,1
101,1,1
102,0,0
103,0,1
104,0,1
105,1,1
106,0,1
107,1,1
108,1,0
109,0,0
110,0,1
111,1,1
112,0,1
113,1,1
114,0,0
115,0,0
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,0,0
122,1,1
123,1,1
124,0,0
125,1,1
126,0,1
127,0,0
128,0,0
129,0,0
130,1,1
131,1,1
132,1,1
133,1,1
134,0,1
135,0,1
136,0,0
137,0,1
138,1,1
139,0,0
140,0,0
141,0,0
142,1,1
143,1,1
144,1,1
145,1,0
146,1,1
147,1,1
148,1,1
149,0,1
150,1,1
151,0,0
152,1,1
153,0,0
154,1,1
155,0,0
156,0,0
157,0,1
158,0,0
159,0,1
160,1,1
161,1,1
162,0,0
163,1,1
164,1,1
165,1,1
166,1,1
167,0,0
168,0,0
169,0,1
170,1,1
171,0,0
172,0,1
173,0,0
174,0,1
175,0,0
176,0,0
177,1,1
178,1,1
179,1,1
180,0,1
181,1,1
182,1,1
183,0,1
184,1,1
185,1,1
186,1,1
187,1,1
188,0,1
189,0,1
190,1,1
191,0,0
192,1,1
193,0,1
194,0,0
195,0,1
196,1,1
197,0,1
198,1,1
199,0,1
200,0,0
201,0,1
202,0,0
203,0,1
204,1,1
205,1,1
206,0,1
207,0,0
208,0,0
209,0,0
210,1,1
211,0,0
212,1,1
213,1,1
214,1,1
215,1,1
216,0,1
217,0,1
218,1,1
219,0,0
220,0,0
221,1,0
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,0,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,0,1
237,0,0
238,0,0
239,0,0
240,0,0
241,0,1
242,1,1
243,1,1
244,0,0
245,1,1
246,1,1
247,1,1
248,1,1
249,1,0
250,0,1
251,1,1
252,0,1
253,0,1
254,0,0
255,0,1
256,1,1
257,0,0
258,0,0
259,0,1
260,0,1
261,0,0
262,0,0
263,0,0
264,1,1
265,0,0
266,0,0
267,1,1
268,0,0
269,0,0
270,0,0
271,0,1
272,1,1
273,0,0
274,1,1
275,0,1
276,0,0
277,1,1
278,0,1
279,0,1
280,1,1
281,0,1
282,1,1
283,0,0
284,1,1
285,0,0
286,0,1
287,1,1
288,0,1
289,0,0
290,0,0
291,0,1
292,1,0
293,1,1
294,1,1
295,0,0
296,0,0
297,0,1
298,0,1
299,1,1
300,1,1
301,1,1
302,1,0
303,1,1
304,1,1
305,0,0
306,0,0
307,0,0
308,1,1
309,1,1
310,0,1
311,0,0
312,0,1
313,1,1
314,0,1
315,1,1
316,1,1
317,1,1
318,0,0
319,0,0
320,0,1
321,1,1
322,1,1
323,1,1
324,0,0
325,0,0
326,0,0
327,0,0
328,1,1
329,0,0
330,1,1
331,0,1
332,1,1
333,0,0
334,0,1
335,1,1
336,0,1
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,1,1
344,0,0
345,0,0
346,1,1
347,1,1
348,0,0
349,0,0
350,1,1
351,0,1
352,0,1
353,1,1
354,0,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,0,0
361,1,1
362,0,1
363,0,0
364,0,0
365,0,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,0,1
374,0,0
375,0,1
376,1,1
377,0,1
378,0,1
379,1,1
380,0,1
381,0,1
382,1,1
383,1,1
384,0,0
385,0,0
386,0,0
387,1,1
388,1,1
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,1,0
396,1,1
397,1,1
398,0,0
399,1,1
400,1,1
401,1,1
402,1,1
403,0,1
404,0,1
405,1,1
406,0,0
407,0,1
408,1,1
409,0,0
410,0,0
411,1,1
412,0,0
413,0,1
414,1,1
415,0,1
416,0,1
417,1,0
418,0,0
419,0,0
420,1,1
421,1,1
422,1,1
423,0,1
424,0,0
425,0,0
426,0,0
427,0,1
428,0,0
429,0,1
430,0,0
431,1,1
432,1,1
433,0,0
434,0,0
435,0,0
436,0,0
437,0,1
438,0,0
439,1,1
440,0,0
441,1,1
442,1,1
443,0,1
444,0,1
445,0,1
446,1,1
447,0,1
448,1,1
449,0,0
450,0,0
451,0,1
452,1,0
453,1,1
454,1,1
455,1,1
456,1,1
457,0,0
458,0,0
459,0,0
460,1,1
461,0,0
462,1,1
463,0,1
464,0,1
465,1,1
466,0,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,0,0
473,0,1
474,0,1
475,1,1
476,0,0
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,0,1
483,1,1
484,0,1
485,0,0
486,1,1
487,0,1
488,0,1
489,1,0
490,0,1
491,0,1
492,0,1
493,1,1
494,1,1
495,1,1
496,0,0
497,0,0
498,1,1
499,0,1
500,0,0
501,0,0
502,1,1
503,0,0
504,1,1
505,0,0
506,0,0
507,0,0
508,1,1
509,1,1
510,1,0
511,1,1
512,0,0
513,1,1
514,1,1
515,0,0
516,1,1
517,1,1
518,0,0
519,1,1
520,1,1
521,1,1
522,1,1
523,0,0
524,1,1
525,1,0
526,0,0
527,0,0
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,0,1
534,0,1
535,0,0
536,1,1
537,0,1
538,1,1
539,0,1
540,1,1
541,1,1
542,0,1
543,0,1
544,0,0
545,0,1
546,1,1
547,1,1
548,0,1
549,0,1
550,0,1
551,1,1
552,0,1
553,1,1
554,1,1
555,0,0
556,0,0
557,1,1
558,0,1
559,0,0
560,0,0
561,1,1
562,1,1
563,1,0
564,1,1
565,0,1
566,0,0
567,1,1
568,1,1
569,0,1
570,1,0
571,0,1
572,1,1
573,0,0
574,1,1
575,0,0
576,1,1
577,1,1
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,1,1
584,0,0
585,0,0
586,0,0
587,1,0
588,0,1
589,1,1
590,1,1
591,0,0
592,0,1
593,0,0
594,0,1
595,1,1
596,0,1
597,1,1
598,0,1
599,1,1
600,0,1
601,0,0
602,0,0
603,1,0
604,1,1
605,1,1
606,1,1
607,0,1
608,1,1
609,1,1
610,1,1
611,0,1
612,0,1
613,1,1
614,1,1
615,1,1
616,0,1
617,0,0
618,0,1
619,1,1
620,0,1
621,1,1
622,1,1
623,0,0
624,1,1
625,0,0
626,1,0
627,1,1
628,1,0
629,0,1
630,0,0
631,0,0
632,0,0
633,0,1
634,1,1
635,0,0
636,1,1
637,1,1
638,1,1
639,0,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,0
645,1,1
646,0,1
647,1,1
648,0,1
649,0,1
650,1,1
651,1,1
652,1,1
653,0,1
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,1
660,0,1
661,0,1
662,1,1
663,0,1
664,0,1
665,1,1
666,0,1
667,0,1
668,0,0
669,0,1
670,1,1
671,0,1
672,1,1
673,1,1
674,0,0
675,0,0
676,1,1
677,1,1
678,0,0
679,1,1
680,0,1
681,0,0
682,1,1
683,0,1
684,0,0
685,0,0
686,0,0
687,1,1
688,1,1
689,0,0
690,0,0
691,0,0
692,0,1
693,1,0
694,0,1
695,0,1
696,0,1
697,0,0
698,0,1
699,1,1
700,1,1
701,0,0
702,0,0
703,1,0
704,0,0
705,0,1
706,0,0
707,1,1
708,0,1
709,1,1
710,0,0
711,0,0
712,0,1
713,0,1
714,0,0
715,1,1
716,0,0
717,1,1
718,1,0
719,0,1
720,0,0
721,0,0
722,0,1
723,1,0
724,1,1
725,0,0
726,0,0
727,0,0
728,1,1
729,1,1
730,1,1
731,0,0
732,0,0
733,0,1
734,0,0
735,0,0
736,1,1
737,0,1
738,0,1
739,1,1
740,1,1
741,1,1
742,1,1
743,0,1
744,0,1
745,0,1
746,0,1
747,1,1
748,1,1
749,0,1
750,0,0
751,0,0
752,0,1
753,0,0
754,0,0
755,0,0
756,1,0
757,1,1
758,0,0
759,1,1
760,0,0
761,1,1
762,0,0
763,0,1
764,0,1
765,0,0
766,1,1
767,0,1
768,1,1
769,0,0
770,0,0
771,1,1
772,1,1
773,0,1
774,0,1
775,1,1
776,0,0
777,1,1
778,1,1
779,1,1
780,0,1
781,1,1
782,1,1
783,1,1
784,1,1
785,0,1
786,0,1
787,0,1
788,0,0
789,0,0
790,0,0
791,0,0
792,1,0
793,0,0
794,0,0
795,1,1
796,0,0
797,1,1
798,1,1
799,0,0
800,0,1
801,1,1
802,0,1
803,1,1
804,1,1
805,0,0
806,0,1
807,1,1
808,1,1
809,0,1
810,0,1
811,0,1
812,0,0
813,0,1
814,0,0
815,0,0
816,0,0
817,0,1
818,0,0
819,0,0
820,0,0
821,0,0
822,1,1
823,0,1
824,1,1
825,1,1
826,0,0
827,0,0
828,1,1
829,1,1
830,0,1
831,1,1
832,0,1
833,0,0
834,0,1
835,0,1
836,0,1
837,0,0
838,1,1
839,1,1
840,1,1
841,1,1
842,0,0
843,0,0
844,0,1
845,0,0
846,0,1
847,1,1
848,1,1
849,1,1
850,1,1
851,1,1
852,0,1
853,0,1
854,0,1
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,1,1
862,0,1
863,0,1
864,0,1
865,1,1
866,1,1
867,0,1
868,0,1
869,1,1
870,1,1
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,1,0
877,0,0
878,0,0
879,0,1
880,0,0
881,1,1
882,0,1
883,1,0
884,1,1
885,0,0
886,0,0
887,0,0
888,0,0
889,1,1
890,0,1
891,0,0
892,0,0
893,0,0
894,0,1
895,1,1
896,0,1
897,1,0
898,0,0
899,0,0
900,0,0
901,0,1
902,1,1
903,1,1
904,0,1
905,1,1
906,0,0
907,0,0
908,1,1
909,0,1
910,0,1
911,1,1
912,0,0
913,0,1
914,0,1
915,0,0
916,1,1
917,0,1
918,0,0
919,0,1
920,0,1
921,1,0
922,0,0
923,1,1
924,1,1
925,1,1
926,0,1
927,0,0
928,1,1
929,0,1
930,0,1
931,1,1
932,1,1
933,1,1
934,1,1
935,1,1
936,0,1
937,1,1
938,1,1
939,1,1
940,1,1
941,1,1
942,0,0
943,0,1
944,0,1
945,0,0
946,0,0
947,0,1
948,0,0
949,1,0
950,0,1
951,0,1
952,0,1
953,0,0
954,0,1
955,0,0
956,0,0
957,0,0
958,1,1
959,0,1
960,1,1
961,1,1
962,0,1
963,0,0
964,0,0
965,0,0
966,0,1
967,0,0
968,0,1
969,0,1
970,1,1
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,1,1
978,0,0
979,1,1
980,1,1
981,1,1
982,1,1
983,1,1
984,1,0
985,1,1
986,0,0
987,0,1
988,1,1
989,0,1
990,0,0
991,0,0
992,0,0
993,0,0
994,0,1
995,0,0
996,0,0
997,0,0
998,0,1
999,0,1
1000,1,1
1001,0,0
1002,0,0
1003,0,0
1004,1,1
1005,1,1
1006,0,0
1007,0,0
1008,1,1
1009,0,0
1010,0,1
1011,0,0
1012,0,1
1013,1,1
1014,0,0
1015,0,1
1016,0,1
1017,1,1
1018,0,1
1019,1,1
1020,0,1
1021,0,1
1022,0,0
1023,0,1
1024,1,1
1025,1,1
1026,0,1
1027,1,1
1028,0,0
1029,1,1
1030,0,1
1031,1,1
1032,0,1
1033,0,1
1034,1,1
1035,1,1
1036,0,0
1037,1,1
1038,1,1
1039,0,0
1040,0,0
1041,0,0
1042,0,0
1043,0,0
1044,0,1
1045,0,0
1046,0,1
1047,1,1
1048,0,0
1049,0,1
1050,0,0
1051,0,0
1052,0,1
1053,0,1
1054,0,1
1055,0,0
1056,0,0
1057,0,0
1058,0,0
1059,0,0
1060,0,0
1061,1,1
1062,1,1
1063,0,0
1064,0,0
1065,0,1
1066,0,0
1067,0,0
1068,0,0
1069,0,0
1070,0,0
1071,1,1
1072,1,1
1073,1,1
1074,0,1
1075,1,1
1076,0,0
1077,0,1
1078,0,0
1079,0,1
1080,0,0
1081,0,0
1082,1,1
1083,0,0
1084,1,1
1085,0,0
1086,0,0
1087,0,0
1088,1,1
1089,1,1
1090,0,0
1091,0,0
1092,1,1
1093,1,1
1094,0,0
1095,0,1
1096,1,1
1097,1,1
1098,1,1
1099,1,1
1100,0,0
1101,0,0
1102,0,0
1103,1,1
1104,1,1
1105,0,0
1106,0,0
1107,0,0
1108,0,1
1109,0,1
1110,0,0
1111,0,1
1112,0,0
1113,0,0
1114,0,0
1115,1,1
1116,1,1
1117,1,1
1118,0,0
1119,0,1
1120,0,1
1121,0,0
1122,1,1
1123,0,1
1124,0,0
1125,0,1
1126,0,0
1127,0,0
1128,0,1
1129,0,0
1130,0,0
1131,0,1
1132,1,1
1133,1,1
1134,0,1
1135,0,1
